Epoch,Accuracy
92,0.5255973
93,0.50511944
94,0.51194537
95,0.51877135
96,0.51877135
97,0.5153584
98,0.50511944
99,0.5085324
100,0.5085324
1,0.35836178
2,0.3447099
3,0.37201366
4,0.41638225
5,0.43003413
6,0.3993174
7,0.4334471
8,0.443686
9,0.4129693
10,0.43003413
1,0.334471
2,0.37201366
3,0.38566554
4,0.38225257
5,0.37883958
6,0.3993174
7,0.45051193
8,0.43003413
9,0.44709897
10,0.43686005
11,0.45051193
12,0.4675768
13,0.48464164
14,0.4641638
15,0.49488056
16,0.45051193
17,0.49829352
18,0.4675768
19,0.48122868
20,0.47440273
21,0.5085324
22,0.5017065
23,0.48122868
24,0.4778157
25,0.49488056
26,0.5085324
27,0.51194537
28,0.5221843
29,0.50511944
30,0.5255973
31,0.49829352
32,0.5085324
33,0.5221843
34,0.51877135
35,0.51194537
36,0.5085324
37,0.5085324
38,0.51877135
39,0.50511944
40,0.5017065
41,0.5017065
42,0.5017065
43,0.49829352
44,0.51194537
45,0.49488056
46,0.5017065
47,0.5221843
48,0.5153584
49,0.5221843
50,0.52901024
51,0.54266214
52,0.5085324
53,0.5255973
54,0.5255973
55,0.5392491
56,0.5255973
57,0.5221843
58,0.51877135
59,0.5221843
60,0.5324232
61,0.50511944
62,0.5153584
63,0.5255973
64,0.5221843
65,0.5255973
66,0.5085324
67,0.5085324
68,0.51194537
69,0.5392491
70,0.5255973
71,0.51877135
72,0.51877135
73,0.5085324
74,0.5255973
75,0.5221843
76,0.5255973
77,0.52901024
78,0.5324232
79,0.5255973
80,0.5324232
81,0.52901024
82,0.5255973
83,0.5460751
84,0.52901024
85,0.54266214
86,0.52901024
87,0.5324232
88,0.51194537
89,0.5324232
90,0.5324232
91,0.51877135
92,0.5221843
93,0.52901024
94,0.5392491
95,0.53583616
96,0.5324232
97,0.5255973
98,0.5255973
99,0.54266214
100,0.54266214
1,0.334471
2,0.40614334
3,0.42662117
4,0.4095563
5,0.43686005
6,0.4675768
7,0.4641638
8,0.4641638
9,0.47440273
10,0.44709897
11,0.4641638
12,0.4880546
13,0.48122868
14,0.47098976
15,0.49829352
16,0.4880546
17,0.49146757
18,0.49488056
19,0.48122868
20,0.4778157
21,0.47440273
22,0.47440273
23,0.48122868
24,0.49488056
25,0.48464164
26,0.48122868
27,0.49488056
28,0.48122868
29,0.5085324
30,0.4778157
31,0.4880546
32,0.49146757
33,0.47440273
34,0.48464164
35,0.4778157
36,0.49146757
37,0.49488056
38,0.49829352
39,0.49488056
40,0.49488056
41,0.4880546
42,0.5153584
43,0.4778157
44,0.5085324
45,0.5017065
46,0.50511944
47,0.49488056
48,0.48464164
49,0.5153584
50,0.49488056
51,0.51194537
52,0.5153584
53,0.51194537
54,0.5085324
55,0.50511944
56,0.49488056
57,0.5255973
58,0.51877135
59,0.49829352
60,0.49488056
61,0.5221843
62,0.5392491
63,0.5221843
64,0.5255973
65,0.52901024
66,0.5153584
67,0.5324232
68,0.5221843
69,0.5221843
70,0.51194537
71,0.52901024
72,0.5324232
73,0.5392491
74,0.5255973
75,0.51194537
76,0.5153584
77,0.5460751
78,0.51194537
79,0.5255973
80,0.53583616
81,0.54266214
82,0.5255973
83,0.5221843
84,0.5324232
85,0.53583616
86,0.54266214
87,0.54266214
88,0.5392491
89,0.5324232
90,0.5324232
91,0.5255973
92,0.5392491
93,0.5460751
94,0.54266214
95,0.54948807
96,0.54948807
97,0.54266214
98,0.5392491
99,0.5460751
100,0.5631399
1,0.35153583
2,0.40273038
3,0.4095563
4,0.3890785
5,0.45051193
6,0.48464164
7,0.45051193
8,0.4880546
9,0.48122868
10,0.5085324
11,0.48464164
12,0.4880546
13,0.49488056
14,0.47440273
15,0.5153584
16,0.4641638
17,0.47440273
18,0.48122868
19,0.49146757
20,0.5085324
21,0.46075085
22,0.5392491
23,0.51194537
24,0.49488056
25,0.5255973
26,0.5221843
27,0.49829352
28,0.5017065
29,0.5085324
30,0.51194537
31,0.5255973
32,0.49829352
33,0.51877135
34,0.51877135
35,0.5255973
36,0.5017065
37,0.5221843
38,0.52901024
39,0.5392491
40,0.5085324
41,0.5153584
42,0.51877135
43,0.5153584
44,0.5255973
45,0.5017065
46,0.5255973
47,0.52901024
48,0.5255973
49,0.50511944
50,0.5324232
51,0.5255973
52,0.52901024
53,0.5153584
54,0.5221843
55,0.5153584
56,0.52901024
57,0.5324232
58,0.51877135
59,0.51194537
60,0.5221843
61,0.5324232
62,0.5153584
63,0.5221843
64,0.5324232
65,0.5324232
66,0.52901024
67,0.51194537
68,0.51877135
69,0.5221843
70,0.5085324
71,0.52901024
72,0.5017065
73,0.5255973
74,0.50511944
75,0.5221843
76,0.53583616
77,0.52901024
78,0.51877135
79,0.5255973
80,0.51877135
81,0.5153584
82,0.5221843
83,0.5221843
84,0.5017065
85,0.5085324
86,0.5153584
87,0.5153584
88,0.4880546
89,0.5085324
90,0.5255973
91,0.51877135
92,0.5221843
93,0.5221843
94,0.51194537
95,0.5085324
96,0.5255973
97,0.5221843
98,0.5085324
99,0.51877135
100,0.52901024
1,0.32764506
2,0.3447099
3,0.40614334
4,0.4129693
5,0.43686005
6,0.37883958
7,0.47098976
8,0.4675768
9,0.48464164
10,0.4778157
11,0.48122868
12,0.48122868
13,0.4573379
14,0.4778157
15,0.48122868
16,0.48464164
17,0.48464164
18,0.48464164
19,0.52901024
20,0.5017065
21,0.48122868
22,0.5017065
23,0.51194537
24,0.48122868
25,0.48464164
26,0.51194537
27,0.5221843
28,0.5221843
29,0.5324232
30,0.5221843
31,0.53583616
32,0.5255973
33,0.5392491
34,0.5324232
35,0.53583616
36,0.52901024
37,0.5153584
38,0.5255973
39,0.5255973
40,0.5221843
41,0.5255973
42,0.5324232
43,0.54266214
44,0.5460751
45,0.5255973
46,0.552901
47,0.53583616
48,0.5255973
49,0.552901
50,0.54266214
51,0.52901024
52,0.552901
53,0.53583616
54,0.5392491
55,0.5460751
56,0.5255973
57,0.5153584
58,0.5460751
59,0.5153584
60,0.54266214
61,0.5460751
62,0.5324232
63,0.57337886
64,0.54266214
65,0.5221843
66,0.5460751
67,0.5392491
68,0.5221843
69,0.54948807
70,0.5324232
71,0.55972695
72,0.5460751
73,0.55972695
74,0.54948807
75,0.5460751
76,0.54266214
77,0.5631399
78,0.5460751
79,0.54266214
80,0.556314
81,0.5460751
82,0.55972695
83,0.552901
84,0.55972695
85,0.54948807
86,0.552901
87,0.5460751
88,0.55972695
89,0.5460751
90,0.57337886
91,0.5665529
92,0.5767918
93,0.5699659
94,0.556314
95,0.5665529
96,0.54266214
97,0.55972695
98,0.55972695
99,0.5665529
100,0.556314
1,0.3447099
2,0.334471
3,0.41979522
4,0.43686005
5,0.45392492
6,0.46075085
7,0.4675768
8,0.4675768
9,0.44027305
10,0.44027305
11,0.47440273
12,0.5085324
13,0.50511944
14,0.49829352
15,0.54948807
16,0.51877135
17,0.50511944
18,0.5221843
19,0.5460751
20,0.5324232
21,0.5221843
22,0.5153584
23,0.5324232
24,0.53583616
25,0.49829352
26,0.54266214
27,0.5085324
28,0.52901024
29,0.54266214
30,0.5153584
31,0.53583616
32,0.5324232
33,0.5392491
34,0.54266214
35,0.5324232
36,0.556314
37,0.5460751
38,0.54948807
39,0.5392491
40,0.552901
41,0.54266214
42,0.54948807
43,0.5631399
44,0.54266214
45,0.5392491
46,0.54948807
47,0.5460751
48,0.54948807
49,0.5665529
50,0.552901
51,0.54948807
52,0.54266214
53,0.552901
54,0.54948807
55,0.556314
56,0.552901
57,0.54948807
58,0.552901
59,0.556314
60,0.55972695
61,0.55972695
62,0.5460751
63,0.53583616
64,0.5665529
65,0.5221843
66,0.5699659
67,0.5392491
68,0.55972695
69,0.5392491
70,0.5460751
71,0.5665529
72,0.52901024
73,0.57337886
74,0.54948807
75,0.5802048
76,0.54948807
77,0.5631399
78,0.552901
79,0.5631399
80,0.5460751
81,0.54948807
82,0.54948807
83,0.5665529
84,0.5324232
85,0.556314
86,0.55972695
87,0.55972695
88,0.552901
89,0.5392491
90,0.5631399
91,0.5392491
92,0.5802048
93,0.54266214
94,0.5767918
95,0.54948807
96,0.55972695
97,0.54948807
98,0.5460751
99,0.5392491
100,0.54266214
1,0.34920636
2,0.33333334
3,0.44444445
4,0.41269842
5,0.44444445
6,0.46031746
7,0.50793654
8,0.4920635
9,0.46031746
10,0.44444445
11,0.47619048
12,0.47619048
13,0.47619048
14,0.4920635
15,0.50793654
16,0.50793654
17,0.47619048
18,0.53968257
19,0.50793654
20,0.4920635
21,0.53968257
22,0.52380955
23,0.4920635
24,0.4920635
25,0.53968257
26,0.47619048
27,0.5873016
28,0.50793654
29,0.53968257
30,0.50793654
31,0.5555556
32,0.4920635
33,0.53968257
34,0.52380955
35,0.5555556
36,0.50793654
37,0.5555556
38,0.52380955
39,0.52380955
40,0.52380955
41,0.5555556
42,0.5555556
43,0.5714286
44,0.52380955
45,0.5714286
46,0.5714286
47,0.53968257
48,0.52380955
49,0.5555556
50,0.5555556
51,0.5555556
52,0.4920635
53,0.5714286
54,0.52380955
55,0.53968257
56,0.5714286
57,0.52380955
58,0.5714286
59,0.5555556
60,0.5555556
61,0.53968257
62,0.5555556
63,0.5555556
64,0.53968257
65,0.53968257
66,0.53968257
67,0.52380955
68,0.52380955
69,0.5555556
70,0.52380955
71,0.61904764
72,0.52380955
73,0.6031746
74,0.53968257
75,0.6031746
76,0.5714286
77,0.52380955
78,0.53968257
79,0.52380955
80,0.6031746
81,0.52380955
82,0.6031746
83,0.50793654
84,0.53968257
85,0.6031746
86,0.5555556
87,0.5555556
88,0.5873016
89,0.6031746
90,0.5873016
91,0.61904764
92,0.5873016
93,0.5873016
94,0.5714286
95,0.5873016
96,0.5873016
97,0.5714286
98,0.5873016
99,0.6031746
100,0.5714286
